*******************************************************************
* Option Basic
*******************************************************************

OptionBasic_MenuStr	基本オプション	Basic Option
ServerSmtp_0037	許可されないユーザからの制御メールです	It is the control demand that is not admitted
ServerSmtp_0038	(ML)配信に成功しました	(ML)Success delivery it
ServerSmtp_0039	(ML)配信に失敗しました	(ML)Error delivery it
ServerSmtp_0040	制御コマンドの解釈に失敗しました	Failed in interpretation of a control command
ServerSmtp_0041	制御コマンドを実行します	Execute a control command
ServerSmtp_0042	Guideを送信しました	Transmitted a guide
ServerSmtp_0043	投稿を許可されていないメンバーからの投稿です	It is POST from the member that it is not admitted a contribution
ServerSmtp_0044	(ML)メーリングリストが有効になりました	(ML)A mailing list became effective
ServerSmtp_0045	エリアス指定が無効です	Elias appointment is invalidity
ServerSmtp_0046	メンバーを追加しました	Added a member
ServerSmtp_0047	このコマンドを発行する権限がありません	There is not authority to execute this command
ServerSmtp_0048	メンバーの追加に失敗しました	Failed in addition of a member
ServerSmtp_0049	コマンド実行でエラーが発生しました	An error occurred by a command
ServerSmtp_0050	管理者ログインが必要です	Manager login is necessary
ServerSmtp_0051	パラメータに問題があります	A parameter includes a problem
ServerSmtp_0052	メールアドレスがローカルユーザではありません（From偽造を許可しない）	There is not an email address in a local user (From: Check)
ServerSmtp_0053	(ML)メンバ（管理者）のメールアドレスに問題があります	(ML)There is a problem to an email address of a member (a manager)
ServerSmtp_0054	無効コマンドが既定回数を超えました。処理を強制切断します。	Unknown command exceeded established frequency
ServerSmtp_0055	メールボックスへの格納に失敗しました	Failed in housing to a mailbox
ServerSmtp_0056	サーバとの接続に失敗しました	Failed in connection with a server
ServerSmtp_0057	(ML)メンバが存在しません	(ML)There is not a members



###############################################################
# Option MailBox
###############################################################

OptionMailBox_MenuStr	メールボックス	MailBox

#PageTitle

OptionMailBox_Basic	基本設定	Basic
OptionMailBox_User	利用者	User

#Page1(基本設定)

OptionMailBox_dir	作業ディレクトリ	Working Directory
OptionMailBox_useDetailsLog	詳細ログを出力する	Use Details Log

#Page2(利用者)

OptionMailBox_userName	ユーザ名	user
OptionMailBox_password	パスワード	password
OptionMailBox_user	利用者の指定	User List


###############################################################
# Option SmtpMlServer
###############################################################

OptionMl_MenuStr	メーリングリストの追加と削除	Add or Remove Maling List

#PageTitle

OptionMl_Basic	基本設定	Basic
OptionMl_Member	メンバー	Member

#Page1(基本設定)
OptionMl_manageDir	管理領域（フォルダ）	Management Directory
OptionMl_useDetailsLog	詳細ログを出力する	Use Details Log
OptionMl_title	題名の形式	Title
OptionMl_maxGet	getコマンドに対して添付するメッセージの最大数	The greatest number of a message to attach for a get command
OptionMl_maxSummary	summaryコマンドに対して列挙する件名の最大数	The greatest number of a title to enumerate for a summary command
OptionMl_autoRegistration	自動登録	Auto Registration

#Page2(メンバー)

OptionMl_name	名前	Name
OptionMl_address	メールアドレス	MailAddress
OptionMl_manager	管理者	Manager
OptionMl_reacer	配信する	Reader
OptionMl_contributor	投稿を許可する	Contributor
OptionMl_pass	パスワード	Password
OptionMl_memberList	メンバーリスト	Member List

#Page3(Guide)

OptionMl_guideDocument	メーリングリストの紹介 [Guide]" : "An introduction of a mailing list [Guide]	

#Page4(Deny)

OptionMl_denyDocument	メンバー以外から投稿があった際に返信するメッセージ  [Deny]	A message to reply to a contribution from out of a member [Deny]
            

#Page5(Confirm)


OptionMl_confirmDocument	subscribe時の確認用メッセージ [Confirm]	A message for confirmation in subscribe [Confirm]

#Page6(Welcome)

OptionMl_welcomeDocument	登録完了時の歓迎メッセージ [Welcome]	A welcome message in registration completion [Welcome]

#Page7(Append)

OptionMl_appendDocument	管理者宛の登録依頼メッセージ [Accept]	A registration request message addressed to a manager [Append]

#Page8(Help)

OptionMl_helpDocument	メンバー用ヘルプメッセージ [Help]	A help message for members [Help]

#Page9(Admin)

OptionMl_adminDocument	管理者用ヘルプメッセージ [Admin]	A help message for adminstrator [Admin]





###############################################################
# Option TftpServer
###############################################################
OptionTftp_MenuStr	TFTPサーバ	TFTP Server


OptionTftp_useServer	TFTPサーバを使用する	Use TFTP Server

#PageTitle
OptionTftp_Basic	基本設定	Basic

#Page1

OptionTftp_workDir	作業フォルダ	A work folder
OptionTftp_read	「読込み」を許可する	Reading permission
OptionTftp_write	「書込み」を許可する	Writing permission
OptionTftp_override	「上書き」を許可する	Override permission


#Message

ServerTftp_0001	オペコードの取得に失敗しました	failed in the acquisition of an operation cord
ServerTftp_0002	ファイル名の取得に失敗しました	failed in the acquisition of a file name
ServerTftp_0003	モード文字列の取得に失敗しました	failed in the acquisition of a mode
ServerTftp_0004	モード文字列の解釈に敗しました	failed in interpretation of a mode
ServerTftp_0005	作業フォルダが指定されていません	A work folder is not appointed
ServerTftp_0006	指定された作業フォルダが存在しません	There is not an appointed work folder
ServerTftp_0007	タイムアウトしました	Timeout
ServerTftp_0008	アップロード(WRQ)	UPLOAD (WRQ)
ServerTftp_0009	ダウンロード(RRQ)	DOWNLOAD (RRQ)
ServerTftp_0010	「読込み」が許可されていない	Receive of a message prohibition
ServerTftp_0011	「書込み」が許可されていない	Transmission of a message prohibition
ServerTftp_0012	「上書き」が許可されていない	There is already a file
ServerTftp_0013	ファイルが見つからない	A file is not found
ServerTftp_0014	ACK番号の不整合が発生しました	Unmatch ACK number

###############################################################
#TunnelServer
###############################################################

OptionTunnel_useServer	この定義を使用する	Use this configration

#PageTitle
OptionTunnel_Basic	基本設定	Basic

#Page1

OptionTunnel_targetPort	接続先ポート	Port
OptionTunnel_targetServer	接続先サーバ	Server
OptionTunnel_idleTime	アイドルタイム(m)	Idle time (m)

#Message

ServerTunnel_0001	接続先サーバが指定されていません	Connection ahead server is not appointed
ServerTunnel_0002	接続先ポートが指定されていません	Connection ahead port is not appointed

ServerTunnel_0004	サーバへの接続に失敗しました(1)	Failed in connection to a server (1)
ServerTunnel_0005	サーバへの接続に失敗しました(2)	Failed in connection to a server (2)
ServerTunnel_0006	TCPストリームをトンネルしました	A tunnel(TCP stream)
ServerTunnel_0007	UDPパケットをトンネルしました	A tunnel(UDP packet)


###############################################################
# Option TunnelList
###############################################################

OptionTunnelList_MenuStr	トンネルの追加と削除	Add or Remove Tunnel


#PageTitle
OptionTunnelList_Basic	基本設定	Basic

#Page1

OptionTunnelList_protocol	プロトコル	Protocol
OptionTunnelList_srcPort	クライアントから見たポート	Port (from client side)
OptionTunnelList_server	接続先サーバ名	Connection ahead server
OptionTunnelList_dstPort	接続先ポート	Port (to server side)




###############################################################
# Option WebApiServer
###############################################################

OptionWebApi_MenuStr	WebAPIサーバ	WebAPI Server

OptionWebApi_useServer	WebApiサーバを使用する	Use Web API Server

#PageTitle
OptionWebApi_Basic	基本設定	Basic

#Message
ServerWebApi_0001	日本語	English


###############################################################
# Option WebServer
###############################################################

OptionWeb_useServer	Webサーバを使用する	Use Web Server

#PageTitle
OptionWeb_Basic	基本設定	Basic
OptionWeb_Alias	別名指定	Alias
OptionWeb_MimeType	MIMEタイプ	MIME Type
OptionWeb_Certification	認証リスト	Authentication List
OptionWeb_CertUserList	認証（ユーザリスト）	Authentication(User List)
OptionWeb_CertGroupList	認証（グループリスト）	Authentication(Group List)
OptionWeb_ModelSentence	雛型	Model Sentence
OptionWeb_AutoACL	自動拒否	Automatic Deny

#Page1
OptionWeb_protocol	プロトコル	Protocol
OptionWeb_documentRoot	ドキュメントのルートディレクトリ	DocumentRoot
OptionWeb_welcomeFileName	Welcomeファイル(カンマで区切って複数指定可能です)	Welcome file(You can set multiple file by split them using ",".)
OptionWeb_useHidden	隠し属性ファイルへリクエストを許可する	Allow request to the file which has hidden attribute
OptionWeb_useDot	URLに..が含まれるリクエストを許可する	Allow request which has ".." in URL
OptionWeb_useExpansion	BJDを経由したリクエストの特別拡張を有効にする	Use special expansion which pass through BJD
OptionWeb_useDirectoryEnum	ディレクトリ一覧を表示する	Show directory index
OptionWeb_serverHeader	Server:ヘッダの指定	Set Server header
OptionWeb_useEtag	ETagを追加する	Add ETag
OptionWeb_serverAdmin	管理者メールアドレス	Server admin's email address


#Page2(CGI)

OptionWeb_useCgi	CGIを使用する	Use CGI
OptionWeb_cgiExtension	拡張子	Extension
OptionWeb_Program	プログラム	Program

OptionWeb_cgiTimeout	CGIタイムアウト(秒)	CGI Timeout(sec)
OptionWeb_CgiPath	CGIパス	CGI Path
OptionWeb_cgiDirectory	参照ディレクトリ	Directory
OptionWeb_cgiPath	CGIパスを指定した場合、指定したパスのみCGIが許可されます	When I appointed a CGI path It is admitted CGI only the path that I appointed


#Page3(SSI)
OptionWeb_useSsi	SSIを使用する	Use SSI
OptionWeb_ssiExt	SSIとして認識する拡張子(カンマで区切って複数指定できます)	Extension to recognize as SSI ( Separator , )
OptionWeb_useExec	exec cmd (cgi) を有効にする	Use exec,cmd(cgi)


#Page4(WebDav)

OptionWeb_useWebDav	WebDAVを使用する	Use WebDAV
OptionWeb_WebDAV Path	WebDAVパス	WebDAV Path
OptionWeb_Writing permission	書き込みを許可する	Writing permission
OptionWeb_webDAVDirectory	参照ディレクトリ	Directory
OptionWeb_webDavPath	指定したパスでのみWevDAVが有効になります	WebDAV becomes effective only in the path I selected

#Page5(別名指定)


OptionWeb_aliasName	別名	Alias
OptionWeb_aliasDirectory	参照ディレクトリ	Directory
OptionWeb_aliaseList	指定した名前（別名）で指定したディレクトリを直接アクセスします	Access the directory which I appointed by the name(alias) that I appointed directly

#Page6(MIMEタイプ)

OptionWeb_mimeExtension	拡張子	Extension
OptionWeb_mimeType	MIMEタイプ	MIME Type
OptionWeb_mime	データ形式を指定するための、「MIMEタイプ」のリストを設定します	Set a MIME Type list in order to appoint data form

#Page7(認証リスト)

OptionWeb_authDirectory	URL (Directory)	Directory
OptionWeb_AuthName	名前 (AuthName)	AuthName
OptionWeb_Require	ユーザ/グループ (Require)	Require
OptionWeb_authList	ユーザ/グループは「;」で区切って複数設定できます	divide it in [;], and plural [Require] can appoint it

#Page8(認証（ユーザリスト）)
OptionWeb_user	ユーザ (user)	user
OptionWeb_pass	パスワード (password)	password
OptionWeb_userList	ユーザ定義	User List

#Page9(認証（グループリスト）)

OptionWeb_group	グループ (group)	group
OptionWeb_userName	ユーザ(user)	user
OptionWeb_groupList	ユーザは「;」で区切って複数設定できます	divide it in [;], and plural [user] can appoint it


#Page10(雛型)
OptionWeb_encode	エンコード	Encode
OptionWeb_indexDocument	インデックスドキュメント	Index Document
OptionWeb_errorDocument	エラードキュメント	Error Document


#Page11(自動拒否)
OptionWeb_useAutoAcl	自動拒否を使用する	use automatic deny
OptionWeb_autoAclLabel1	「ACL」設定で「指定するアドレスからのアクセスのみを」-「禁止する」にチェックされている必要があります	It is necessary for it to be checked if I [Deny] by [ACL] setting"
OptionWeb_autoAclLabel2	「ACL」設定で「指定するアドレスからのアクセスのみを」-「禁止する」にチェックされている必要があります	It is necessary for it to be checked if I [Deny] by [ACL] setting
OptionWeb_AutoAclApacheKiller	Apache Killer の検出	Search of Apache Killer
OptionWeb_autoAclGroup	拒否リストに追加するイベント	Target Event

#Message


ServerWeb_0000	リクエストの解釈に失敗しました（不正なリクエストの可能性があるため切断しました)	Failed in interpretation of a request (I cut it off so that there was possibility of an unjust request in it)
ServerWeb_0001	サポート外のメソッドです（処理を継続できません）	It is a method out of a support (Cannot continue processing)
ServerWeb_0002	サポート外のバージョンです（処理を継続できません）	It is a version out of a support (Cannot continue processing)

ServerWeb_0005	URIの解釈に失敗しました（不正なリクエストの可能性があるため切断しました)	failed in interpretation of URI (I cut it off so that there was possibility of an unjust request in it)
ServerWeb_0006	認証エラー（認証リストに定義されていないユーザからのアクセスです）	A certification error (it is access from the user who is not defined by a certification list)
ServerWeb_0007	認証エラー（ユーザリストに当該ユーザの情報がありません）	A certification error (a user list does not include information of the user concerned)
ServerWeb_0008	認証成功	Certification success
ServerWeb_0009	認証エラー（パスワードが違います）	A certification error (A password is different)
ServerWeb_0010	このアドレスからのリクエストは許可されていません	A request from this address is not admitted
ServerWeb_0011	この利用者のアクセスは許可されていません	A certification error (a password is different)
                
ServerWeb_0013	.. が含まれるリクエストは許可されていません	he request that .. is included in is not admitted
ServerWeb_0014	ドキュメントルートで指定されたフォルダが存在しません（処理を継続できません）	There is not a folder appointed by a DocumentRoot (Cannot continue processing)
ServerWeb_0015	SSI #include 自分自身をインクルードすることはできません	SSI #include Cannot do include of oneself
ServerWeb_0016	CGI 実行エラー	CGI execution error
                
ServerWeb_0020	パラメータの解釈に失敗しました	Failed in interpretation of a parameter
ServerWeb_0021	SSIの処理に失敗しました	Failed in processing of small scale integration
ServerWeb_0022	SSI 実行エラー	SSI execution error
ServerWeb_0023	リクエスト[HTTPS]	Request[HTTPS]
ServerWeb_0024	リクエスト	Request
ServerWeb_0025	雛型(エラードキュメント)が入力されていません	A model is not appointed(Error Document)
ServerWeb_0026	雛型(インデックスドキュメント)が入力されていません	A model is not appointed(Index Document)
ServerWeb_0027	CGI以外のファイルが指定されています	An appointed file is not CGI
ServerWeb_0028	#exec は、cmd及びcgiしか指定できません	"#exec" can appoint only "cgi" and "cmd"
ServerWeb_0029	ディレクトリを削除できませんでした	Failed in elimination of a directory
ServerWeb_0030	ファイルを削除できませんでした	Failed in elimination of a file
ServerWeb_0031	ファイルの作成に失敗しました	Failed in making of a file
ServerWeb_0032	ディレクトリを削除できませんでした	Failed in elimination of a directory
ServerWeb_0033	ファイルを削除できませんでした	Failed in elimination of a file
ServerWeb_0034	ディレクトリの移動(コピー)に失敗しました	Failed in movement(copy) of a directory
ServerWeb_0035	ファイルの移動(コピー)に失敗しました	Failed in movement(copy) of a file
ServerWeb_0036	ディレクトリの作成に失敗しました	Failed in making of a directory
ServerWeb_0037	URLの解釈に失敗しました	Failed in interpretation of URL
###############################################################
# Option VirtualHost
###############################################################

OptionVirtualHost_MenuStr	Webの追加と削除	Add or Remove VirtualHost

#PageTitle
OptionVirtualHost_VirtualHost	仮想ホスト	Virtual Host

#Page1(仮想ホスト)
OptionVirtualHost_protocol	プロトコル	Protocol
OptionVirtualHost_host	ホスト名	Host Name
OptionVirtualHost_port	ポート番号	Port
OptionVirtualHost_certificate	サイト証明書(.ptx)	site certificate(.ptx)
OptionVirtualHost_privateKeyPassword	秘密鍵のパスワード	A password of private key
OptionVirtualHost_groupHttps	HTTPSを使用する場合は、証明書(pfx形式)が必要です	When they use HTTPS, a certificate is necessary

